Time	Яна шмат разоў чытала гэтую кнігу, але ніколі да канца	Пры выбары моў многія студэнты запісаліся на французскую, нямецкую, але ніхто не на хіндзі	Я лiчу яго не дурнем	Кагосьці з гэтых людзей я не ведаў	Камусьці з іх 15 гадоў, камусьці 30, але нікому - 20."	Каго-небудзь з гэтых людзей я не ведаў	Я не лiчу яго не разумным	Камусьці з іх 15 гадоў, камусьці 30, але нікому не 20.	Пры выбары моў многія студэнты запісаліся на французскую, нямецкую, але ніхто - на хіндзі	Яна шмат разоў чытала гэтую кнігу, але ніколі не да канца
05.06.2019 21:15:51	10	0	0	7.5	7.5	0	7.5	0	7.5	0
05.06.2019 23:10:42	2.5	7.5	10	10	2.5	0	0	0	2.5	5
05.06.2019 23:32:26	10	5	10	10	7.5	10	7.5	7.5	2.5	5
06.06.2019 9:11:09	10	0	5	10	7.5	2.5	5	0	10	0
06.06.2019 14:54:25	2.5	0	7.5	0	0	0	5	10	10	0
06.06.2019 15:29:41	7.5	0	2.5	5	2.5	0	7.5	2.5	10	0
06.06.2019 15:53:27	10	2.5	5	10	7.5	0	2.5	5	10	0
07.06.2019 10:31:00	7.5	2.5	2.5	7.5	7.5	7.5	7.5	7.5	10	2.5
07.06.2019 11:06:30	7.5	5	10	10	7.5	2.5	7.5	7.5	10	5
07.06.2019 11:26:46	7.5	7.5	5	10	7.5	2.5	5	5	7.5	2.5